Defter;Place of origin;Migration;location_1;latitude_1;longitude_1;date_hijri_1;date_gregorian_1;location_2;latitude_2;longitude_2;date_hijri_2;date_gregorian_2;location_3;latitude_3;longitude_3;date_hijri_3;date_gregorian_3;location_4;latitude_4;longitude_4;date_hijri_4;date_gregorian_4;location_5;latitude_5;longitude_5;date_hijri_5;date_gregorian_5;location_6;latitude_6;longitude_6;date_hijri_6;date_gregorian_6;location_7;latitude_7;longitude_7;date_hijri_7;date_gregorian_7;location_8;latitude_8;longitude_8;date_hijri_8;date_gregorian_8;location_9;latitude_9;longitude_9;date_hijri_9;date_gregorian_9;location_10;latitude_10;longitude_10;date_hijri_10;date_gregorian_10;location_11;latitude_11;longitude_11;date_hijri_11;date_gregorian_11;location_12;latitude_12;longitude_12;date_hijri_12;date_gregorian_12;location_13;latitude_13;longitude_13;date_hijri_13;date_gregorian_13;location_14;latitude_14;longitude_14;date_hijri_14;date_gregorian_14
Defter 2253;Asitane;Silivri, 18 L. 1265;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;18 L. 1265;09/10/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2255;;Varna, 20 Z. 1270;Tatavla;41,06;28,98;;;Varna;43,21;27,91;20 Z. 1270;09/23/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2260;;"Bursa, 27 B. 1266; amed, 8 B. 1266; Varna, 20 N. 1270; aler, 8 B. 1271; Selanik, 8 B. 1271";Tatavla;41,06;28,98;;;Bursa;40,18;29,06;27 B. 1266;06/06/1850;Tatavla;41,06;28,98;8 B. 1266;05/18/1850;Varna;43,21;27,91;20 N. 1270;07/14/1854;Tatavla;41,06;28,98;8 B. 1271;04/10/1855;Selanik;40,64;22,94;8 B. 1271;04/10/1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2261;;Tekfurdağı, 14 N. 1266;Tatavla;41,06;28,98;;;Tekfurdağı;40,98;27,51;14 N. 1266;07/24/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2263;;Kalei Sultani, 15 R. 1270;Tatavla;41,06;28,98;;;Kalei Sultani;40,15;26,41;15 R. 1270;02/20/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2266;;Silivri, amed;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;;;Tatavla;41,06;28,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2267;;"Silivri, 15 Za. 1267; amed, 15 Za. 1267";Tatavla;41,06;28,98;;;Silivri;41,07;28,25;15 Za. 1267;09/11/1851;Tatavla;41,06;28,98;15 Za. 1267;09/11/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2276;Asitane;"reft Hocabey, 5.Za. 1263; amed, 16.Ca.1266; reft Hocabey, 16.Ca.1266";Tatavla;41,06;28,98;;;Hocabey;45,42;28,05;5 Za. 1263;10/01/1847;Tatavla;41,06;28,98;16 Ca. 1266;04/28/1850;Hocabey;45,42;28,05;16 Ca. 1266;04/28/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2280;Asitane;"Silivri, 27 L. 1265; amedşod, 15 R. 1266";Tatavla;41,06;28,98;;;Silivri;41,07;28,25;27 L. 1265;09/19/1849;Tatavla;41,06;28,98;15 R. 1266;02/25/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2281;Yanyalı;"Bükreş, 7 Z. 1262; amed, 24 C. 1262; vilayet, 15 Z. 1263";Tatavla;41,06;28,98;;;Bükreş;44,43;26,1;7 Z. 1262;11/30/1846;Tatavla;41,06;28,98;24 C. 1262;06/30/1846;Vilayet;41,06;28,98;15 Z. 1263;11/01/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2283;Asitane;"Selanik, 16.Za.1264; amed, 8.B.1265; Şire, 8.B.1265";Tatavla;41,06;28,98;;;Selanik;40,64;22,94;16 Za. 1264;10/10/1848;Tatavla;41,06;28,98;8 B. 1265;05/30/1849;Şire;41,06;28,98;8 B. 1265;05/30/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2285;Asitane;Silivri, 5 L. 1263;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;5 L. 1263;08/31/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2287;Zağralı;"Golos, 23 S. 1262; amedşod, 14 S. 1263";Tatavla;41,06;28,98;;;Golos;41,06;28,98;23 S. 1262;03/31/1846;Tatavla;41,06;28,98;14 S. 1263;03/21/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
